District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
036,03636211,Goldstone Park Elementary,6287 146 ST,,SURREY,BC,V3S3A3,,,,,,Principal,Laura,Grills,,,Standard,Public,6045952767,6045952769,goldstonepark@surreyschools.ca,,,,,
036,03636246,Princess Margaret Secondary,12870 72 AVE,,SURREY,BC,V3W2M9,,,,,,,Pen,Contact,,,Standard,Public,6045945458,6045944689,princessmargaret@surreyschools.ca,,,,,
036,03696830,iLearn Secondary School Society,618-7184 120 ST,,SURREY,BC,V3W3M8,6225 136 ST,,SURREY,BC,V3X1H3,,Pen,Contact,,,Provincial Online Learning,Independent,6045905504,,snaz@ilearnhighschool.com,,,,,
036,03636178,A J McLellan Elementary,16545 61 AVE,,SURREY,BC,V3S5V4,,,,,,,Pen,Contact,,,Standard,Public,6045747296,6045749073,ajmclellan@surreyschools.ca,,,,,
036,03636188,Morgan Elementary,3366 156A ST,,SURREY,BC,V3Z9Y7,,,,,,,Pen,Contact,,,Standard,Public,6045318426,6045318159,myles_g@surreyschools.ca,,,,,
036,03636248,Kwantlen Park Secondary,10441 132 ST,,SURREY,BC,V3T3V3,,,,,,Principal,Mike,Kilpatrick,,,Standard,Public,6045886934,6045882139,kwantlenpark@surreyschools.ca,,,,,
036,03625004,SD 36 StrongStart BC Outreach Program #1,12834 115A AVE,,SURREY,BC,V3R2X4,,,,,,,Strongstart,Clerk,,,StrongStart Outreach,Early Learning,6045801047,,bridgeview@surreyschools.ca,,,,,
036,03625438,Strawberry Hill StrongStart Centre,7633 124 ST,,SURREY,BC,V3W8N2,,,,,,Principal,Vicky,Deol,,,StrongStart Center,Early Learning,6045965533,6045969184,strawberryhill@surreyschools.ca,,,,,
036,03699142,Surrey Academy of Innovative Learning,14123 92 AVE,,SURREY,BC,V3V1J7,,,,,,Principal,Rex,Hayes,,,Provincial Online Learning,Public,6045924263,6045956346,sailacademy@surreyschools.ca,,,,,
036,03696900,Honour Secondary School,10453 WHALLEY BLVD,,SURREY,BC,V3T5B1,,,,,,,Pen,Contact,,,Standard,Independent,6049923982,,jnimhurchu@pcrs.ca,,,,01,01
036,03636155,Coast Meridian Elementary,8222 168A ST,,SURREY,BC,V4N4T8,,,,,,Principal,Tina,Saito,,,Standard,Public,6045746036,6045748126,coastmeridian@surreyschools.ca,,,,,
036,03636165,Chimney Hill Elementary,14755 74 AVE,,SURREY,BC,V3S8Y8,,,,,,Principal,Dee,Reiter,,,Standard,Public,6045922913,6045924010,chimneyhill@surreyschools.ca,,,,,
036,03636114,Enver Creek Secondary,14505 84 AVE,,SURREY,BC,V3S8X2,,,,,,Principal,Alysha,Tessier,,,Standard,Public,6045438149,6045439762,envercreek@surreyschools.ca,,,,,
036,03636001,Hjorth Road Elementary,14781 104 AVE,,SURREY,BC,V3R5X4,,,,,,,Pen,Contact,,,Standard,Public,6045812327,6045819424,hjorthroad@surreyschools.ca,,,,,
036,03636002,Port Kells Elementary,19076 88 AVE,,SURREY,BC,V4N5T2,,,,,,,Pen,Contact,,,Standard,Public,6048822021,6048823070,portkells@surreyschools.ca,,,,,
036,03636004,Cloverdale Traditional,17857 56 AVE,,SURREY,BC,V3S1E2,,,,,,,Pen,Contact,,,Standard,Public,6045768295,6045764658,cloverdale traditional@surreyschools.ca,,,,,
036,03636009,White Rock Elementary,1273 FIR ST,,WHITE ROCK,BC,V4B5A6,,,,,,Principal,Jas,Atwal,,,Standard,Public,6045315731,6045318442,whiterock@surreyschools.ca,,,,,
036,03636012,Colebrook Elementary,5404 125A ST,,SURREY,BC,V3X1W6,,,,,,Principal,Andrew,Zadeiks,,,Standard,Public,6045963221,6045969573,colebrook@surreyschools.ca,,,,,
036,03636018,East Kensington Elementary,2795 184 ST,,SURREY,BC,V3S9V2,,,,,,,Pen,Contact,,,Standard,Public,6045411257,6045314180,eastkensington@surreyschools.ca,,,,,
036,03636021,Sullivan Elementary,6016 152 ST,,SURREY,BC,V3S3K6,,,,,,Principal,Nimarta,Pattar,,6045971977,Standard,Public,6045971977,6045979320,sullivan@surreyschools.ca,,,,,
036,03636022,Queen Elizabeth Secondary,9457 KING GEORGE BLVD,,SURREY,BC,V3V5W4,,,,,,Principal,Baljit,Ranu,,,Standard,Public,6045881258,6045845294,queenelizabeth@surreyschools.ca,,,,,
036,03636000,Continuing Ed SD36 (Invergarry),12772 88 AVE,,SURREY,BC,V3W3J9,,,,,,,Continuing,Education,,,Continuing Education,Public,6045956077,6045956076,invergarryadulted@surreyschools.ca,,,,,
036,03636028,North Surrey Secondary,15945 96 AVE,,SURREY,BC,V4N2R8,,,,,,,Pen,Contact,,,Standard,Public,6045814433,6045811150,northsurrey@surreyschools.ca,,,,,
036,03636029,Harold Bishop Elementary,15670 104 AVE,,SURREY,BC,V4N2J3,,,,,,Principal,Jason,Johnson,,,Standard,Public,6045816016,6045830904,haroldbishop@surreyschools.ca,,,,,
036,03636031,Crescent Park Elementary,2440 128 ST,,SURREY,BC,V4A3W3,,,,,,Principal,Jolene,Elder,,,Standard,Public,6045359101,6045351391,crescentpark@surreyschools.ca,,,,,
036,03636033,Bridgeview Elementary,12834 115A AVE,,SURREY,BC,V3R2X4,,,,,,,Pen,Contact,,,Standard,Public,6045801047,6045801048,bridgeview@surreyschools.ca,,,,,
036,03636034,J T Brown Elementary,12530 60 AVE,,SURREY,BC,V3X2K8,,,,,,,Pen,Contact,,,Standard,Public,6045963445,6045961714,jtbrown@surreyschools.ca,,,,,
036,03636035,Latimer Road Elementary,19233 60 AVE,,SURREY,BC,V3S2T5,,,,,,Principal,Susan,Yip,,,Standard,Public,6045769184,6045766492,latimerroad@surreyschools.ca,,,,,
036,03636036,Ray Shepherd Elementary,1650 136 ST,,SURREY,BC,V4A4E4,,,,,,,Pen,Contact,,,Standard,Public,6045311471,6045418039,rayshepherd@surreyschools.ca,,,,,
036,03636037,Dr F D Sinclair Elementary,7480 128 ST,,SURREY,BC,V3W4E5,,,,,,Principal,Christopher,Naylor,,,Standard,Public,6045961537,6045968271,drfdsinclair@surreyschools.ca,,,,,
036,03636038,Sunnyside Elementary,2828 159 ST,,SURREY,BC,V3S0E5,,,,,,Principal,Brandi,Scott,,,Standard,Public,6045314826,6045418943,sunnysidel@surreyschools.ca,,,,,
036,03636039,Surrey Centre Elementary,16670 OLD MCLELLAN RD,,SURREY,BC,V3S1K3,,,,,,,Pen,Contact,,,Standard,Public,6045769191,6045763821,surreycentre@surreyschools.ca,,,,,
036,03636040,K B Woodward Elementary,13130 106 AVE,,SURREY,BC,V3T2C3,,,,,,Principal,Lianne,McBride,,6045885918,Standard,Public,6045885918,6045813563,kbwoodward@surreyschools.ca,,,,,
036,03636041,Lord Tweedsmuir Secondary,6151 180 ST,,SURREY,BC,V3S4L5,,,,,,Principal,Ken,Hignell,,6045747407,Standard,Public,7782427545,,lordtweedsmuir@surreyschools.ca,,,,,
036,03636043,Green Timbers Elementary,8824 144 ST,,SURREY,BC,V3V5Z7,,,,,,,Pen,Contact,,,Standard,Public,6045885961,6045826173,greentimbers@surreyschools.ca,,,,,
036,03636044,Prince Charles Elementary,12405 100 AVE,,SURREY,BC,V3V2X2,,,,,,,Pen,Contact,,,Standard,Public,6045885481,6045824358,princecharles@surreyschools.ca,,,,,
036,03636045,Johnston Heights Secondary,15350 99 AVE,,SURREY,BC,V3R0R9,,,,,,,Pen,Contact,,,Standard,Public,6045815500,6045839286,johnstonheights@surreyschools.ca,,,,,
036,03636047,Guildford Park Secondary,10707 146 ST,,SURREY,BC,V3R1T5,,,,,,,Pen,Contact,,,Standard,Public,6045887601,6045887762,guildfordpark@surreyschools.ca,,,,,
036,03636049,Semiahmoo Secondary,1785 148 ST,,SURREY,BC,V4A4M5,,,,,,Principal,Alyssa,Malkoske,,,Standard,Public,6045362131,6045364970,semiahmoo@surreyschools.ca,,,,,
036,03636050,Mountainview Montessori,15225 98 AVE,,SURREY,BC,V3R1J2,,,,,,,Pen,Contact,,,Standard,Public,6045891193,6045895000,mountainview@surreyschools.ca,,,,,
036,03636051,A H P Matthew Elementary,13367 97 AVE,,SURREY,BC,V3T1A4,,,,,,,Heather,Brown,,,Standard,Public,6045883415,6045887122,ahpmatthew@surreyschools.ca,,,,,
036,03636053,T E Scott Elementary,7079 148 ST,,SURREY,BC,V3S3E5,,,,,,,Pen,Contact,,,Standard,Public,6045960357,6045436524,tescott@surreyschools.ca,,,,,
036,03636054,Mary Jane Shannon Elementary,10682 144 ST,,SURREY,BC,V3T4W1,,,,,,,Pen,Contact,,,Standard,Public,6045885991,6045813763,mjshannon@surreyschools.ca,,,,,
036,03636055,Lena Shaw Elementary,14250 100A AVE,,SURREY,BC,V3T1K8,,,,,,,Pen,Contact,,,Standard,Public,6045811363,6049510724,lenashaw@surreyschools.ca,,,,,
036,03636056,H T Thrift Elementary,1739 148 ST,,SURREY,BC,V4A4M6,,,,,,Principal,Bobby,Samra,,,Standard,Public,6045368712,6045317286,htthrift@surreyschools.ca,,,,,
036,03636057,William Watson Elementary,16450 80 AVE,,SURREY,BC,V4N0H3,,,,,,Principal,Becky,Copeland,,,Standard,Public,6045744141,6045744907,williamwatson@surreyschools.ca,,,,,
036,03636058,David Brankin Elementary,9160 128 ST,,SURREY,BC,V3V5M8,,,,,,Principal,Iram,Khan,,,Standard,Public,6045859547,6045859577,davidbrankin@surreyschools.ca,,,,,
036,03636059,Ecole Riverdale Elementary,14835 108A AVE,,SURREY,BC,V3R1W9,,,,,,,Pen,Contact,,,Standard,Public,6045885978,6045816382,riverdale@surreyschools.ca,,,,,
036,03636060,Senator Reid Elementary,9341 126 ST,,SURREY,BC,V3V5C4,,,,,,,Elisabeth,Hartmann,,,Standard,Public,6045847441,6045835159,senatorreid@surreyschools.ca,,,,,
036,03636061,Martha Currie Elementary,5811 184 ST,,SURREY,BC,V3S4N2,,,,,,,Pen,Contact,,,Standard,Public,6045768551,6045760431,marthacurrie@surreyschools.ca,,,,,
036,03636062,James Ardiel Elementary,13751 112 AVE,,SURREY,BC,V3R2G4,,,,,,,Pen,Contact,,,Standard,Public,6045883021,6045815209,jamesardiel@surreyschools.ca,,,,,
036,03636064,Old Yale Road Elementary,10135 132 ST,,SURREY,BC,V3T3T6,,,,,,,Jeanne,Dupre,,,Standard,Public,6045885468,6045889663,oldyale@surreyschools.ca,,,,,
036,03636067,Erma Stephenson Elementary,10929 160 ST,,SURREY,BC,V4N1P3,,,,,,Principal,Adrian,MacLennan,,6045835419,Standard,Public,6045835419,6045824173,ermastephenson@surreyschools.ca,,,,,
036,03636069,Bear Creek Elementary,13780 80 AVE,,SURREY,BC,V3W7X6,,,,,,Principal,Kristen,MacDonald,,6045947501,Standard,Public,6045947501,6045949362,bearcreek@surreyschools.ca,,,,,
036,03636070,Peace Arch Elementary,15877 ROPER AVE,,WHITE ROCK,BC,V4B2H5,,,,,,Principal,Phil,Linklater,,,Standard,Public,6045368711,6045368732,peacearch@surreyschools.ca,,,,,
036,03636071,Henry Bose Elementary,6550 134 ST,,SURREY,BC,V3W4S3,,,,,,Principal,James,Pearce,,,Standard,Public,6045966324,6045968279,henrybose@surreyschools.ca,,,,,
036,03636072,Newton Elementary,13359 81 AVE,,SURREY,BC,V3W3C5,,,,,,Principal,Amy,Newman,,,Standard,Public,6045968621,6045966912,newton@surreyschools.ca,,,,,
036,03636073,Cedar Hills Elementary,12370 98 AVE,,SURREY,BC,V3V2K3,,,,,,,Pen,Contact,,,Standard,Public,6045810407,6045817377,cedarhills@surreyschools.ca,,,,,
036,03636077,Royal Heights Elementary,11665 97 AVE,,SURREY,BC,V3V2B9,,,,,,,Pen,Contact,,,Standard,Public,6045817622,6045815946,royalheights@surreyschools.ca,,,,,
036,03636080,Surrey Traditional,13875 113 AVE,,SURREY,BC,V3R2J6,,,,,,,Pen,Contact,,,Standard,Public,6045881248,6045883611,surreytraditional@surreyschools.ca,,,,,
036,03636081,Holly Elementary,10719 150 ST,,SURREY,BC,V3R4C8,,,,,,,Pen,Contact,,,Standard,Public,6045852566,6045811783,holly@surreyschools.ca,,,,,
036,03636082,Georges Vanier Elementary,6985 142 ST,,SURREY,BC,V3W5N1,,,,,,Principal,Shane,Reader,,6045961030,Standard,Public,6045961030,6045960331,georgesvanier@surreyschools.ca,,,,,
036,03636084,Ellendale Elementary,14525 110A AVE,,SURREY,BC,V3R2B4,,,,,,,Pen,Contact,,,Standard,Public,6045844754,6045843261,ellendale@surreyschools.ca,,,,,
036,03636087,Simon Cunningham Elementary,9380 140 ST,,SURREY,BC,V3V5Z4,,,,,,Principal,Sol,Lee,,6045884435,Standard,Public,6045884435,6045826528,simoncunningham@surreyschools.ca,,,,,
036,03636089,Jessie Lee Elementary,2064 154 ST,,SURREY,BC,V4A4S3,,,,,,Principal,Michelle,Helland,,6045318833,Standard,Public,6045318833,6045356927,jessielee@surreyschools.ca,,,,,
036,03636090,George Greenaway Elementary,17285 61A AVE,,SURREY,BC,V3S1W3,,,,,,,Natalie,Ferreira,,,Standard,Public,6045761136,6045767952,georgegreenaway@surreyschools.ca,,,,,
036,03636105,Earl Marriott Secondary,15751 16 AVE,,SURREY,BC,V4A1S1,,,,,,,Pen,Contact,,,Standard,Public,6045318354,6045316174,earlmarriott@surreyschools.ca,,,,,
036,03636106,Frank Hurt Secondary,13940 77 AVE,,SURREY,BC,V3W5Z4,,,,,,Principal,Brian,Tait,,,Standard,Public,6045901311,6045909013,frankhurt@surreyschools.ca,,,,,
036,03636107,Betty Huff Elementary,13055 HUNTLEY AVE,,SURREY,BC,V3V1V1,,,,,,,Pen,Contact,,,Standard,Public,6045853104,6045851524,bettyhuff@surreyschools.ca,,,,,
036,03636109,Strawberry Hill Elementary,7633 124 ST,,SURREY,BC,V3W8N2,,,,,,,Pen,Contact,,,Standard,Public,6045965533,6045969184,strawberryhill@surreyschools.ca,,,,,
036,03636116,W E Kinvig Elementary,13266 70B AVE,,SURREY,BC,V3W8N1,,,,,,Principal,Manjit,Nahal,,,Standard,Public,6045941135,6045948769,wekinvig@surreyschools.ca,,,,,
036,03636117,Laronde Elementary,1880 LARONDE DR,,SURREY,BC,V4A9S4,,,,,,Principal,Janesse,Boudreau,,6045361626,Standard,Public,6045361626,6045364829,laronde@surreyschools.ca,,,,,
036,03636079,L.A. Matheson Secondary,9484 122 ST,,SURREY,BC,V3V4M1,,,,,,Principal,Sunny,Deol,,,Standard,Public,6045883418,6045887245,lamatheson@surreyschools.ca,,,,,
036,03636118,South Meridian Elementary,16244 13 AVE,,SURREY,BC,V4A8E6,,,,,,,Pen,Contact,,,Standard,Public,6045387114,6045387082,southmeridian@surreyschools.ca,,,,,
036,03636122,Don Christian Elementary,6256 184 ST,,SURREY,BC,V3S8E6,,,,,,,Pen,Contact,,,Standard,Public,6045761381,6045760382,donchristian@surreyschools.ca,,,,,
036,03636128,Bonaccord Elementary,14986 98 AVE,,SURREY,BC,V3R1J1,,,,,,,Pen,Contact,,,Standard,Public,6045843533,6045854673,bonaccord@surreyschools.ca,,,,,
036,03636129,M B Sanford Elementary,7318 143 ST,,SURREY,BC,V3W7T6,,,,,,Principal,Aimee,Boyer,,,Standard,Public,6045967517,6045968614,mbsanford@surreyschools.ca,,,,,
036,03636130,Maple Green Elementary,14898 SPENSER DR,,SURREY,BC,V3S7K7,,,,,,Principal,Jennifer,Pilchak,,,Standard,Public,6045948838,6045729383,maplegreen@surreyschools.ca,,,,,
036,03636132,Kennedy Trail Elementary,8305 122A ST,,SURREY,BC,V3W9P8,,,,,,Principal,Rejean,Bolduc,,,Standard,Public,6045901198,6045908431,kennedytrail@surreyschools.ca,,,,,
036,03636136,Berkshire Park Elementary,15372 94 AVE,,SURREY,BC,V3R1E3,,,,,,Principal,Trevor,McQuarrie,,6045837305,Standard,Public,6045837305,6045822967,berkshirepark@surreyschools.ca,,,,,
036,03636137,Panorama Park Elementary,12878 62 AVE,,SURREY,BC,V3X2E8,,,,,,,Mindol,Kaur,,,Standard,Public,6045960963,6045940467,panoramapark@surreyschools.ca,,,,,
036,03636140,Martha Jane Norris Elementary,12928 66A AVE,,SURREY,BC,V3W8Z7,,,,,,Principal,Amberly,Wittenberg,,6045947150,Standard,Public,6045947150,6045724796,marthajanenorris@surreyschools.ca,,,,,
036,03696117,Cloverdale Catholic School,17511 59 AVE,,SURREY,BC,V3S1P3,,,,,,,Marnie,Jangula,,,Standard,Independent,6047739743,6045745160,cheah@cisva.bc.ca,,01,01,,
036,03696166,Holy Cross Regional High School,16193 88 AVE,,SURREY,BC,V4N1G3,,,,,,,Joanne,Fraser,,,Standard,Independent,6045813023,6045834795,office@holycross.bc.ca,,,,01,01
036,03696457,St Bernadette,13130 65B AVE,,SURREY,BC,V3W9M1,,,,,,Office Administrator,Sheila,Vader,,6045961101,Standard,Independent,6045961101,6045961550,mvanderpauw@cisva.bc.ca,,01,01,,
036,03696476,Regent Christian Academy,15100 66A AVE,,SURREY,BC,V3S2A6,,,,,,,Sandi,Walker,,,Standard,Independent,6045998171,6045998175,tbryerton@regent.bc.ca,,01,01,01,01
036,03699008,Education Services (Alternate),14033 92 AVE,,SURREY,BC,V3V0B7,,,,,,Principal,Daniel,To,,,Alternate Programs,Public,6045956436,6045956400,edsc-school@surreyschools.ca,,,,,
036,03696075,Our Lady of Good Counsel,10504 139 ST,,SURREY,BC,V3T4L5,,,,,,,Sheri-Ann,Kirchner,,6045813154,Standard,Independent,6045813154,6045881633,olgcprincipal@shaw.ca,,01,01,,
036,03696309,White Rock Christian Academy,2265 152 ST,,SURREY,BC,V4A4P1,,,,,,Principal,David,Michel,,,Standard,Independent,6045319186,6045311727,school@wrca.ca,https://wrca.ca/,01,01,01,01
036,03696266,Surrey Christian School,8888 162 ST,,SURREY,BC,V4N3G1,,,,,,,Carolyn,Gerber,,,Standard,Independent,6044983233,6045813520,info@surreychristian.com,https://surreychristian.com/,01,01,01,01
036,03636215,Ecole Salish Secondary,7278 184 ST,,SURREY,BC,V4N5V2,,,,,,Principal,Sheila,Hammond,,,Standard,Public,6042359836,7785479487,salish@surreyschools.ca,,,,,
036,03696667,Iqra School,14590 116A AVE,,SURREY,BC,V3R2V1,,,,,,Secretary,Nabila,Arain,,6045837530,Standard,Independent,6045837530,6045837510,principal@iqraschool.com,https://iqraschool.com/,01,01,01,
036,03636596,Xw'epiteng Elementary,18035 8 Ave,,Surrey,BC,V3S9R9,,,,,,Principal,Kristy,Crnkovich,,6045381083,Standard,Public,,,,,,,,
036,03636138,North Ridge Elementary,13460 62 AVE,,SURREY,BC,V3X2J2,,,,,,Principal,Gwen,Myles,,6045993900,Standard,Public,6045993900,6045997396,northridge@surreyschools.ca,,,,,
036,03636142,Fraser Wood Elementary,10650 164 ST,,SURREY,BC,V4N1W8,,,,,,,Pen,Contact,,,Standard,Public,6045896442,6049309243,fraserwood@surreyschools.ca,,,,,
036,03636143,Serpentine Heights Elementary,16126 93A AVE,,SURREY,BC,V4N3A2,,,,,,,Pen,Contact,,,Standard,Public,6045896322,6045837692,serpentineheights@surreyschools.ca,,,,,
036,03636145,Woodland Park Elementary,9025 158 ST,,SURREY,BC,V4N2Y6,,,,,,,Pen,Contact,,,Standard,Public,6045895957,6045895397,woodlandpark@surreyschools.ca,,,,,
036,03636170,Ocean Cliff Elementary,12550 20 AVE,,SURREY,BC,V4A1Y6,,,,,,Principal,Brian,Newbold,,,Standard,Public,6045381770,6045382431,oceancliff@surreyschools.ca,,,,,
036,03636139,Cougar Creek Elementary,12236 70A AVE,,SURREY,BC,V3W4Z8,,,,,,,Pen,Contact,,,Standard,Public,6045919098,6045909127,cougarcreek@surreyschools.ca,,,,,
036,03636146,Brookside Elementary,8555 142A ST,,SURREY,BC,V3W0S6,,,,,,,Pen,Contact,,,Standard,Public,6045968561,6045990781,brookside@surreyschools.ca,,,,,
036,03636162,Bayridge Elementary,1730 142 ST,,SURREY,BC,V4A6G7,,,,,,Principal,Jane,Forbes,,,Standard,Public,6045318082,6045417963,bayridge@surreyschools.ca,,,,,
036,03696394,Pacific Academy,10238 168 ST,,SURREY,BC,V4N1Z4,,,,,,,Sherri,Smith,,,Standard,Independent,6045815353,6045810087,colleen.drisner@mypacificacademy.net,https://www.pacificacademy.net,01,01,01,01
036,03636147,Westerman Elementary,7626 122 ST,,SURREY,BC,V3W1H4,,,,,,Principal,Brenda,Keller,,6045724054,Standard,Public,6045724054,6045726197,westerman@surreyschools.ca,,,,,
036,03636148,Chantrell Creek Elementary,2575 137 ST,,SURREY,BC,V4P2K5,,,,,,Principal,Christine,Koppensteiner,,,Standard,Public,6045356708,6045385855,chantrellcreek@surreyschools.ca,,,,,
036,03636157,Coyote Creek Elementary,8131 156 ST,,SURREY,BC,V3S3R4,,,,,,,Pen,Contact,,,Standard,Public,6045970858,6045978274,coyotecreek@surreyschools.ca,,,,,
036,03636160,Frost Road Elementary,8606 162 ST,,SURREY,BC,V4N1B5,,,,,,,Pen,Contact,,,Standard,Public,6045724050,6045727569,frostroad@surreyschools.ca,,,,,
036,03696585,Khalsa Secondary School (Surrey),10589 124 ST,,SURREY,BC,V3V0B1,,,,,,Vice Principal,Gulbagh,Gulati,,7786810015,Standard,Independent,6045858200,6045883210,gkmalik@khalsaschool.ca,https://khalsaschool.ca/khalsa-secondary-school/,,,01,01
036,03636186,Janice Churchill Elementary,8226 146 ST,,SURREY,BC,V3S3A5,,,,,,Principal,Lisa,Jamieson,,,Standard,Public,6045437187,6045430236,janicechurchill@surreyschools.ca,,,,,
036,03636149,Sunrise Ridge Elementary,18690 60 AVE,,SURREY,BC,V3S8L8,,,,,,Principal,Rhonda,Aldus,,6045763000,Standard,Public,6045763000,6045769511,sunriseridge@surreyschools.ca,,,,,
036,03636156,Elgin Park Secondary,13484 24 AVE,,SURREY,BC,V4A2G5,,,,,,Principal,Kavita,Sharma,,,Standard,Public,6045386678,6045386491,elginpark@surreyschools.ca,,,,,
036,03636174,Kirkbride Elementary,12150 92 AVE,,SURREY,BC,V3V1G2,,,,,,,Pen,Contact,,,Standard,Public,6045885711,6045880577,kirkbride@surreyschools.ca,,,,,
036,03636152,Walnut Road Elementary,16152 82 AVE,,SURREY,BC,V4N0N5,,,,,,,Pen,Contact,,,Standard,Public,6045726617,6045726574,walnutroad@surreyschools.ca,,,,,
036,03636158,Beaver Creek Elementary,6505 123A ST,,SURREY,BC,V3W5Y5,,,,,,,Pen,Contact,,,Standard,Public,6045726911,6045721379,beavercreek@surreyschools.ca,,,,,
036,03636111,Cindrich Elementary,13455 90 AVE,,SURREY,BC,V3V8A2,,,,,,,Pen,Contact,,,Standard,Public,6045903211,6045903354,cindrich@surreyschools.ca,,,,,
036,03696596,Cornerstone Montessori School,14724 84 AVE,,SURREY,BC,V3S2M5,,,,,,,Rita,Gausman,,6045999918,Standard,Independent,6045999918,6045970468,office@cornerstone.school,,01,01,,
036,03696602,Bibleway Christian Academy,18657 60 AVE,,SURREY,BC,V3S7P4,,,,,,Principal,Kim,Dingwall,,,Standard,Independent,6045768188,6045761370,secretary@biblewayacademy.org,,01,01,01,01
036,03696947,Khalsa School Old Yale Road,10677 124 ST,,SURREY,BC,V3V0B1,,,,,,,Kamalpreet,Baga,,,Standard,Independent,6049512333,6049512336,kkbaga@khalsaschool.ca,,01,01,,
036,03636131,Hyland Elementary,6677 140 ST,,SURREY,BC,V3W5J3,,,,,,Principal,Bronween,Howden,,6045439347,Standard,Public,6045439347,6045902972,hyland@surreyschools.ca,,,,,
036,03636159,Dogwood Elementary,10752 157 ST,,SURREY,BC,V4N1K6,,,,,,Principal,Diana,Ellis,,6045818111,Standard,Public,6045818111,6045818219,dogwood@surreyschools.ca,,,,,
036,03636167,Fleetwood Park Secondary,7940 156 ST,,SURREY,BC,V3S3R3,,,,,,,Pen,Contact,,,Standard,Public,6045972301,6045976481,fleetwoodpark@surreyschools.ca,,,,,
036,03696610,Southridge School,2656 160 ST,,SURREY,BC,V3Z0B7,,,,,,,Lisa,Byrom,,6045422340,Standard,Independent,6045355056,6045353676,stephens@southridge.bc.ca,,02,02,02,02
036,03636161,Semiahmoo Trail Elementary,3040 145A ST,,SURREY,BC,V4P1P8,,,,,,,Pen,Contact,,,Standard,Public,6045316063,6045317438,semiahmootrail@surreyschools.ca,,,,,
036,03696948,Khalsa School Newton,6933 124 ST,,SURREY,BC,V3W3W6,,,,,,Principal,Gursimran,Kaur,,,Standard,Independent,6045912248,6045913396,kaur_g@khalsaschool.ca,,01,01,,
036,03636172,William F. Davidson Elementary,15550 99A AVE,,SURREY,BC,V3R9H5,,,,,,Principal,Allison,Volk,,6045847688,Standard,Public,6045847688,6045849010,williamfdavidson@surreyschools.ca,,,,,
036,03636112,Creekside Elementary,13838 91 AVE,,SURREY,BC,V3V7K4,,,,,,Principal,Margaret,Geddes,,,Standard,Public,6045439132,6045439138,creekside@surreyschools.ca,,,,,
